epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,10661.4,0.56528,0.43197,1.01403,0.92932,0.93374,0.96417,0.85806,0.75068,0.39468,1.12602,0.004258,0.004258,0.004258
60,10844.4,0.56394,0.4286,1.01183,0.93067,0.93812,0.96552,0.86047,0.7504,0.38934,1.12357,0.004159,0.004159,0.004159
61,11025.6,0.56322,0.42422,1.01272,0.92626,0.93452,0.967,0.85941,0.75295,0.3883,1.12475,0.00406,0.00406,0.00406
62,11209,0.55368,0.41557,1.00718,0.9259,0.93312,0.96351,0.85595,0.75041,0.38759,1.12305,0.003961,0.003961,0.003961
63,11391.4,0.55352,0.41538,1.00762,0.92559,0.93349,0.96429,0.85771,0.74852,0.38825,1.12258,0.003862,0.003862,0.003862
64,11573.5,0.55215,0.41183,1.00993,0.92757,0.93363,0.96344,0.85784,0.74923,0.39023,1.12469,0.003763,0.003763,0.003763
65,11755.1,0.55219,0.41202,1.01027,0.93063,0.9374,0.96576,0.85988,0.7482,0.39228,1.12303,0.003664,0.003664,0.003664
66,11936.4,0.54865,0.40439,1.00584,0.9337,0.9388,0.96462,0.86001,0.74756,0.39164,1.12221,0.003565,0.003565,0.003565
67,12118.2,0.54608,0.40402,1.00323,0.93356,0.93661,0.96253,0.8559,0.74641,0.39012,1.12025,0.003466,0.003466,0.003466
68,12299.6,0.54118,0.39925,1.00404,0.93251,0.93714,0.96355,0.85514,0.74647,0.39246,1.12116,0.003367,0.003367,0.003367
69,12481.3,0.5405,0.39629,1.0018,0.93125,0.93736,0.96431,0.85664,0.74648,0.39239,1.12146,0.003268,0.003268,0.003268
70,12662.8,0.53929,0.38779,1.00277,0.93114,0.93743,0.96365,0.85438,0.74653,0.39207,1.122,0.003169,0.003169,0.003169
71,12845.2,0.53441,0.3906,0.99821,0.93189,0.94069,0.9643,0.85411,0.74501,0.39131,1.12072,0.00307,0.00307,0.00307
72,13026.3,0.53551,0.3789,0.9996,0.93267,0.94077,0.96416,0.85627,0.74472,0.39065,1.12068,0.002971,0.002971,0.002971
73,13207.2,0.52696,0.37801,0.99739,0.93238,0.94081,0.96408,0.85675,0.7459,0.39016,1.12254,0.002872,0.002872,0.002872
74,13388.9,0.5276,0.37671,0.99709,0.93164,0.9412,0.96391,0.85679,0.74593,0.39189,1.1228,0.002773,0.002773,0.002773
75,13571.1,0.52406,0.36807,0.99611,0.93066,0.94168,0.96458,0.85825,0.74599,0.39342,1.12381,0.002674,0.002674,0.002674
76,13750.5,0.52401,0.36897,0.99378,0.92746,0.94014,0.9635,0.85707,0.7447,0.39287,1.12309,0.002575,0.002575,0.002575
77,13931,0.52498,0.36555,0.99494,0.92736,0.93968,0.96346,0.85756,0.74454,0.39312,1.12337,0.002476,0.002476,0.002476
78,14110.9,0.51857,0.3601,0.99292,0.92769,0.93962,0.96391,0.85939,0.74359,0.39084,1.12223,0.002377,0.002377,0.002377
79,14291.3,0.51703,0.36179,0.99065,0.9274,0.9396,0.96406,0.85928,0.7433,0.39212,1.12206,0.002278,0.002278,0.002278
80,14471.4,0.51589,0.35429,0.99192,0.92734,0.93956,0.96406,0.85767,0.74235,0.39064,1.12125,0.002179,0.002179,0.002179
81,14651.9,0.51304,0.34916,0.9888,0.92712,0.9395,0.96407,0.85761,0.74255,0.39121,1.12138,0.00208,0.00208,0.00208
82,14831.8,0.50681,0.35037,0.98862,0.92653,0.93948,0.96412,0.85744,0.74215,0.39124,1.12114,0.001981,0.001981,0.001981
83,15015.3,0.50559,0.34699,0.98803,0.92437,0.93707,0.96259,0.85604,0.74247,0.39324,1.1217,0.001882,0.001882,0.001882
84,15199.1,0.50524,0.34472,0.98516,0.92375,0.93757,0.96298,0.85485,0.74177,0.39226,1.12065,0.001783,0.001783,0.001783
85,15382.5,0.50392,0.34186,0.98418,0.92277,0.93803,0.96294,0.85555,0.74195,0.39296,1.12102,0.001684,0.001684,0.001684
86,15567.6,0.50244,0.338,0.98602,0.92224,0.93806,0.96288,0.85574,0.74186,0.39277,1.12138,0.001585,0.001585,0.001585
87,15751.1,0.49705,0.33211,0.98171,0.92192,0.93813,0.96291,0.85702,0.74122,0.39236,1.12095,0.001486,0.001486,0.001486
88,15934.2,0.49211,0.32806,0.98156,0.9218,0.9385,0.96286,0.8569,0.74072,0.39138,1.12035,0.001387,0.001387,0.001387
89,16118.1,0.49284,0.33084,0.98022,0.92188,0.93745,0.96329,0.85828,0.74071,0.39155,1.12017,0.001288,0.001288,0.001288
90,16303.1,0.4899,0.3244,0.98025,0.92177,0.93751,0.96339,0.85911,0.74031,0.39129,1.11984,0.001189,0.001189,0.001189
91,16484.9,0.39678,0.20014,0.93928,0.92153,0.93801,0.96306,0.8585,0.74024,0.39138,1.11982,0.00109,0.00109,0.00109
92,16662.2,0.3909,0.19277,0.93585,0.9216,0.93829,0.96242,0.85819,0.7398,0.39277,1.12005,0.000991,0.000991,0.000991
93,16840.7,0.38604,0.1909,0.93484,0.92201,0.93839,0.96174,0.8563,0.73947,0.39257,1.11984,0.000892,0.000892,0.000892
94,17020.6,0.38007,0.18574,0.92875,0.92201,0.93865,0.96181,0.85752,0.73827,0.39061,1.11833,0.000793,0.000793,0.000793
95,17200.7,0.37523,0.18489,0.93034,0.92242,0.93888,0.96172,0.85746,0.73878,0.38957,1.11864,0.000694,0.000694,0.000694
96,17379.7,0.37048,0.183,0.92591,0.92379,0.93963,0.96173,0.85831,0.73873,0.38892,1.11814,0.000595,0.000595,0.000595
97,17557.8,0.36762,0.18013,0.92533,0.92869,0.93943,0.96177,0.85895,0.73858,0.38821,1.11823,0.000496,0.000496,0.000496
98,17736.9,0.36327,0.17869,0.92357,0.92861,0.94016,0.96226,0.85975,0.73861,0.38788,1.11832,0.000397,0.000397,0.000397
99,17913.3,0.36052,0.17498,0.92051,0.9284,0.94029,0.96138,0.85798,0.7385,0.38736,1.11839,0.000298,0.000298,0.000298
100,18088.8,0.35576,0.17386,0.92142,0.92851,0.94039,0.96145,0.85853,0.73748,0.38789,1.11768,0.000199,0.000199,0.000199
